target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
ANY,UNIDENTIFIED-PARALLEL-FIELD,271.3637536278,-22.086119101,3,56083.6494864583,0.5079,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.6385644468,-22.93745601573,3,52443.6063773958,1023.3887,33
WR108,STAR-WOLF-RAYET-,271.3665105526,-23.00522870261,3,50218.4863013542,0.2,28
WR108,STAR-WOLF-RAYET-,271.3665105526,-23.00522870261,3,50218.4876902431,0.2,28
WR108,STAR-WOLF-RAYET-,271.3665105526,-23.00522870261,3,50218.4828291319,1.0,28
WR108,STAR-WOLF-RAYET-,271.3665105526,-23.00522870261,3,50218.4842180208,1.0,28
WR108,STAR-WOLF-RAYET-,271.3665105526,-23.00522870261,3,50218.4793569097,3.0,28
WR108,STAR-WOLF-RAYET-,271.3665105526,-23.00522870261,3,50218.4807457986,3.0,28
HD-164402,ISM-ABSORPTION-LINE-SYSTEM---GALACTIC,270.4765921673,-22.78030286364,3,58335.6571297106,1934.0,10
HD164402,STAR,270.4765833333,-22.78028816169,1,52898.933996412,2.1,20
HD-164402,ISM-ABSORPTION-LINE-SYSTEM---GALACTIC,270.4765921673,-22.78030286363,1,58335.6474312153,0.3,10
HD164402,STAR,270.4765833333,-22.7802881617,3,52898.9381278935,188.8,20
HD164402,STAR,270.4765833333,-22.78028816172,2,52898.9459171644,3.9,20
HD164402,STAR,270.4765833333,-22.78028816172,2,52898.9476764236,6.0,20
HD164402,STAR,270.4764723772,-22.78039209364,3,52898.9411371528,188.8,20
HD164402,STAR,270.4764723772,-22.78039209364,2,52898.9453038194,3.9,20
HD164402,STAR,270.4764723772,-22.78039209365,2,52898.9483130787,6.0,20
HD-164402,ISM-ABSORPTION-LINE-SYSTEM---GALACTIC,270.4765921673,-22.78030286363,1,58335.6543912037,3.0,10
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.6569123017,-22.9914145878,2,52447.6837335648,400.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.6569123017,-22.9914145878,2,52447.6888724537,400.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.6569123017,-22.9914145878,2,52447.6940113426,400.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.6569123017,-22.9914145878,2,52447.6991502315,400.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.6569123017,-22.9914145878,2,52447.7042891204,400.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.6569123017,-22.9914145878,2,52447.7446013542,400.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,271.4659871088,-22.04405761917,3,56083.6485834838,0.5079,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.3385021057,-22.64667471909,3,58335.6565396181,792.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.3385021057,-22.64667471909,3,58335.66335702,397.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.3385021057,-22.64667471909,3,58335.65653962,792.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.3385021057,-22.64667471909,3,58335.65653962,1189.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.3385021057,-22.64667471909,3,58335.66335702,397.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,270.3385021057,-22.64667471909,3,58335.67018441,396.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,271.2828527303,-21.9128608065,3,56083.6493943634,60.0,33
ANY,UNIDENTIFIED-PARALLEL-FIELD,271.1888530402,-21.88137433171,3,56083.650759919,60.0,33
