target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50052.0829165856,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50052.084328588,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50052.0859489931,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50052.0872452894,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50052.0884721875,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50052.0897800116,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50052.0911920949,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50052.0926388079,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50052.0944444097,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50052.0958216782,107.95,2
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50052.0970716782,118.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50052.0984489931,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50052.0997569097,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50172.9131133912,133.5,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50172.9146643171,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50172.9163425926,114.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50172.9180207986,82.900002,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50172.9189814005,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50172.9203934838,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50172.9220138889,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50172.9233101852,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50172.9245370023,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50172.9258448727,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50172.9272569097,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50172.928703669,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50172.9305091782,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50172.9318866088,107.95,2
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50172.9331364931,118.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50172.9345138889,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50172.9358216782,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50178.9459375,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50178.9476503819,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50178.949328669,114.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50178.9506596875,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50178.9519675116,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50178.9533795949,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50178.955,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50178.9562962963,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50178.9575231134,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50178.9588309838,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50178.9602430208,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50178.9616897801,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50178.9634952894,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50178.9648726852,107.95,2
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50178.9661226852,118.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50178.9675,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50178.9688077894,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50208.6303586806,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50208.6320716782,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50208.6337498843,114.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50208.6350809838,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50208.6363888079,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50208.6378008102,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50208.6394212963,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50208.6407175116,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50208.6419444097,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50208.6432521991,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50208.6446643171,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50208.6461109954,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50208.6479165857,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50208.6492939005,107.95,2
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50208.6505439005,118.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50208.6519211806,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50208.6532290856,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50233.8324305208,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50233.8341434838,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50233.8358216782,114.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50233.8371527778,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50233.8384606134,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50233.8398726852,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50233.8414930208,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50233.8427893171,105.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50233.844016169,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50233.8453239931,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50233.8467360764,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50233.8481829051,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50233.8499883912,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50233.851365706,107.95,2
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50233.852615706,118.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50233.8539930903,112.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50233.8553008912,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50748.2805439005,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50748.2822569097,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50748.2839351852,119.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50748.2853239931,112.95,11
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50748.2866319097,121.95,2
NGC6853-291-REF,CALIBRATION-ASTROMETRIC-,299.90646,22.73081,1,50748.2880439005,139.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50748.2896643171,111.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50748.2909606134,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50748.2922452894,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50748.2936110764,121.95,11
NGC6853-631-REF,CALIBRATION-ASTROMETRIC-,299.92215,22.73236,1,50748.2950231134,124.95,2
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50748.2964698727,155.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50748.2982753819,118.95,11
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50748.2996526968,112.95,2
NGC6853-527-REF,CALIBRATION-ASTROMETRIC-,299.89785,22.73475,1,50748.3009606134,132.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50748.3025,108.95,11
NGC6853-299-REF,CALIBRATION-ASTROMETRIC-,299.93004,22.7458,1,50748.3037614931,110.95,2
NGC6853-246-REF,CALIBRATION-ASTROMETRIC-,299.95137,22.73506,1,50748.3050462963,117.95,2
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50748.3064120023,121.95,11
NGC6853,STAR-PLANETARY-NEBULA-CENTRAL-ST,299.90155,22.7211399,1,50752.2459143171,147.95,11
NGC6853-528-REF,CALIBRATION-ASTROMETRIC-,299.88246,22.69632,1,50752.2476272801,144.95,2
NGC6853-484-REF,CALIBRATION-ASTROMETRIC-,299.85516,22.71597,1,50752.2493055208,119.95,2
