target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC6656,un57,279.1004166667,-23.90341666667,3,51274.89043264,1560.0,196
NGC6656,un58,279.1004166667,-23.90341666667,3,51278.23557158,1560.0,197
NGC6656,un59,279.1004166667,-23.90341666667,3,51278.23557158,1560.0,198
NGC6656,un60,279.1004166667,-23.90341666667,3,51281.46612717,1560.0,200
NGC6656,un61,279.1004166667,-23.90341666667,3,51281.46612717,1560.0,201
NGC6656,un62,279.1004166667,-23.90341666667,3,51284.14737721,1560.0,202
NGC6656,un63,279.1004166667,-23.90341666667,3,51284.14737721,1560.0,203
NGC6656,un64,279.1004166667,-23.90341666667,3,51286.91265502,1560.0,204
NGC6656,un65,279.1004166667,-23.90341666667,3,51286.91265502,1560.0,205
NGC6656,un66,279.1004166667,-23.90341666667,3,51289.92168284,1560.0,206
NGC6656,un67,279.1004166667,-23.90341666667,3,51289.92168284,1560.0,207
NGC6656,un68,279.1004166667,-23.90341666667,3,51292.88904399,1560.0,208
NGC6656,un69,279.1004166667,-23.90341666667,3,51292.88904399,1560.0,209
NGC6656,un70,279.1004166667,-23.90341666667,3,51296.44251626,1560.0,211
NGC6656,un71,279.1004166667,-23.90341666667,3,51296.44251626,1560.0,212
NGC6656,un72,279.1004166667,-23.90341666667,3,51298.92098851,1560.0,213
NGC6656,un73,279.1004166667,-23.90341666667,3,51298.92098851,1560.0,214
NGC6656,un74,279.1004166667,-23.90341666667,3,51302.61473856,1560.0,215
NGC6656,un75,279.1004166667,-23.90341666667,3,51302.61473856,1560.0,216
NGC6656,un76,279.1004166667,-23.90341666667,3,51308.52446086,1560.0,217
NGC6656,un77,279.1004166667,-23.90341666667,3,51308.52446086,1560.0,218
NGC6656,un78,279.1004166667,-23.90341666667,3,51310.88696089,1560.0,219
NGC6656,un79,279.1004166667,-23.90341666667,3,51310.88696089,1560.0,220
NGC6656,un80,279.1004166667,-23.90341666667,3,51314.6348776,1560.0,222
NGC6656,un81,279.1004166667,-23.90341666667,3,51314.6348776,1560.0,223
NGC6656,un82,279.1004166667,-23.90341666667,3,51317.65640542,1560.0,224
NGC6656,un83,279.1004166667,-23.90341666667,3,51317.65640542,1560.0,225
NGC6656,un84,279.1004166667,-23.90341666667,3,51320.81543324,1560.0,226
NGC6656,un85,279.1004166667,-23.90341666667,3,51320.81543324,1560.0,227
NGC6656,un86,279.1004166667,-23.90341666667,3,51323.56751661,1560.0,228
NGC6656,un87,279.1004166667,-23.90341666667,3,51323.56751661,1560.0,229
NGC6656,un88,279.1004166667,-23.90341666667,3,51326.38973887,1560.0,230
NGC6656,un89,279.1004166667,-23.90341666667,3,51326.38973887,1560.0,231
NGC6656,un90,279.1004166667,-23.90341666667,3,51328.89112779,1560.0,233
NGC6656,un91,279.1004166667,-23.90341666667,3,51328.89112779,1560.0,234
NGC6656,un92,279.1004166667,-23.90341666667,3,51331.96751672,1560.0,235
NGC6656,un93,279.1004166667,-23.90341666667,3,51331.96751672,1560.0,236
NGC6656,un94,279.1004166667,-23.90341666667,3,51335.5946001,1560.0,237
NGC6656,un95,279.1004166667,-23.90341666667,3,51335.5946001,1560.0,238
NGC6656,un96,279.1004166667,-23.90341666667,3,51338.0800168,1560.0,239
NGC6656,un97,279.1004166667,-23.90341666667,3,51338.0800168,1560.0,240
NGC6656,un98,279.1004166667,-23.90341666667,3,51340.96751684,1560.0,241
NGC6656,un99,279.1004166667,-23.90341666667,3,51340.96751684,1560.0,242
NGC6656,un100,279.1004166667,-23.90341666667,3,51344.66126688,1560.0,2
NGC6656,un101,279.1004166667,-23.90341666667,3,51344.66126688,1560.0,3
NGC6656,un102,279.1004166667,-23.90341666667,3,51592.96614396,1560.0,4
NGC6656,un103,279.1004166667,-23.90341666667,3,51592.96614396,1560.0,5
NGC6656,un104,279.1115,-23.90482777778,3,51723.25503322,312.0,6
NGC6656,un105,279.1115,-23.90482777778,3,51723.26683877,286.0,7
NGC6656,un106,279.1115,-23.90482777778,3,51723.25503322,598.0,8
EARTH-CALIB,un107,279.100875,-23.90338888889,3,55462.5331416667,1.0,9
DARK,un108,279.1077528035,-23.92060275708,2,51332.0022375,1000.0,10
DARK,un109,279.1175272424,-23.88865213329,2,51338.0543209144,1000.0,11
DARK,un110,279.1175272424,-23.88865213329,2,51231.8605695255,1800.0,13
DARK,un111,279.1077528035,-23.92060275708,2,51252.1237642361,1800.0,14
DARK,un112,279.1176841075,-23.88859262434,2,51252.6834864583,1000.0,15
DARK,un113,279.1186819963,-23.90103961346,2,51266.0230699884,1000.0,16
DARK,un114,279.1186819963,-23.90103961346,2,51266.0383477662,1000.0,17
DARK,un115,279.1175272424,-23.88865213329,2,51269.0702922454,1000.0,18
DARK,un116,279.1175272424,-23.88865213329,2,51302.5980704514,1000.0,19
EARTH-CALIB,un117,279.1176841075,-23.88859262434,2,51250.6626530903,14.0,20
EARTH-CALIB,un118,279.1176841075,-23.88859262434,2,51250.6640419792,14.0,21
EARTH-CALIB,un119,279.1176841075,-23.88859262434,2,51250.6661253472,1.6,22
EARTH-CALIB,un120,279.1176841075,-23.88859262434,2,51250.6675142014,1.6,24
EARTH-CALIB,un121,279.1176841075,-23.88859262434,2,51250.6695975347,2.0,25
EARTH-CALIB,un122,279.1176841075,-23.88859262434,2,51250.6709864236,2.0,26
EARTH-CALIB,un123,279.0893043449,-23.89542177169,2,51253.4161253472,14.0,27
EARTH-CALIB,un124,279.0893043449,-23.89542177169,2,51253.4175142361,14.0,28
EARTH-CALIB,un125,279.0893043449,-23.89542177169,2,51253.4195975694,1.2,29
EARTH-CALIB,un126,279.0893043449,-23.89542177169,2,51253.4209864583,1.2,30
EARTH-CALIB,un127,279.0889829156,-23.89544277237,2,51252.0730697917,14.0,31
EARTH-CALIB,un128,279.0889829156,-23.89544277237,2,51252.0744586806,14.0,32
EARTH-CALIB,un129,279.0889829156,-23.89544277237,2,51252.0765420139,1.6,33
EARTH-CALIB,un130,279.0889829156,-23.89544277237,2,51252.0779309028,1.6,35
EARTH-CALIB,un131,279.0889829156,-23.89544277237,2,51252.0800142361,2.0,36
EARTH-CALIB,un132,279.0889829156,-23.89544277237,2,51252.081403125,2.0,37
EARTH-CALIB,un133,279.1178486502,-23.88863107328,2,51253.3487642361,0.5,38
EARTH-CALIB,un134,279.1178486502,-23.88863107328,2,51253.350153125,0.5,39
EARTH-CALIB,un135,279.1178486502,-23.88863107328,2,51253.3522364583,0.4,40
EARTH-CALIB,un136,279.1178486502,-23.88863107328,2,51253.3536253472,0.4,41
EARTH-CALIB,un137,279.1175272424,-23.88865213329,2,51296.4737648148,1000.0,42
EARTH-CALIB,un138,279.1077528036,-23.92060275708,2,51302.6529315625,0.5,43
EARTH-CALIB,un139,279.1077528036,-23.92060275708,2,51302.6543204514,0.5,44
EARTH-CALIB,un140,279.1077528036,-23.92060275708,2,51302.6564037847,0.4,46
EARTH-CALIB,un141,279.1077528036,-23.92060275708,2,51302.6577926736,0.4,47
EARTH-CALIB,un142,279.1077528036,-23.92060275708,2,51302.6598760069,0.3,48
EARTH-CALIB,un143,279.1077528036,-23.92060275708,2,51302.6612648958,0.3,49
EARTH-CALIB,un144,279.1077528036,-23.92060275708,2,51302.6633482292,0.16,50
EARTH-CALIB,un145,279.1077528036,-23.92060275708,2,51302.6647371181,0.16,51
EARTH-CALIB,un146,279.1175272424,-23.88865213329,2,51281.4987646181,14.0,52
EARTH-CALIB,un147,279.1175272424,-23.88865213329,2,51281.5001535069,14.0,53
EARTH-CALIB,un148,279.1175272424,-23.88865213329,2,51281.5022368403,1.6,54
EARTH-CALIB,un149,279.1175272424,-23.88865213329,2,51281.5036257292,1.6,55
EARTH-CALIB,un150,279.1175272424,-23.88865213329,2,51281.5057090625,2.0,57
EARTH-CALIB,un151,279.1175272424,-23.88865213329,2,51281.5070979514,2.0,58
EARTH-CALIB,un152,279.0889829156,-23.89544277237,2,51286.937653588,1000.0,59
EARTH-CALIB,un153,279.0889829156,-23.89544277237,2,51310.9126539005,1000.0,60
EARTH-CALIB,un154,279.0889829156,-23.89544277237,2,51328.9202930208,1000.0,61
EARTH-CALIB,un155,279.1077528036,-23.92060275708,2,51338.1189042477,14.0,62
EARTH-CALIB,un156,279.1077528036,-23.92060275708,2,51338.1202931366,14.0,63
EARTH-CALIB,un157,279.1077528036,-23.92060275708,2,51338.1223764699,1.2,64
EARTH-CALIB,un158,279.1077528036,-23.92060275708,2,51338.1237653588,1.2,65
EARTH-CALIB,un159,279.1077528036,-23.92060275708,2,51338.1258486921,0.35,66
EARTH-CALIB,un160,279.1077528036,-23.92060275708,2,51338.127237581,0.35,68
EARTH-CALIB,un161,279.1077528036,-23.92060275708,2,51338.1293209144,3.0,69
EARTH-CALIB,un162,279.1077528036,-23.92060275708,2,51338.1307098032,3.0,70
EARTH-CALIB,un163,279.1077528036,-23.92060275708,2,51341.005709838,14.0,71
EARTH-CALIB,un164,279.1077528036,-23.92060275708,2,51341.0070987269,14.0,72
EARTH-CALIB,un165,279.1077528036,-23.92060275708,2,51341.0091820602,1.6,73
EARTH-CALIB,un166,279.1077528036,-23.92060275708,2,51341.0105709491,1.6,74
EARTH-CALIB,un167,279.1077528036,-23.92060275708,2,51341.0126542824,2.0,75
EARTH-CALIB,un168,279.1077528036,-23.92060275708,2,51341.0140431713,2.0,76
EARTH-CALIB,un169,279.1077528036,-23.92060275708,2,51341.0161265046,1.0,77
EARTH-CALIB,un170,279.1077528036,-23.92060275708,2,51341.0175153935,1.0,79
EARTH-CALIB,un171,279.1077528036,-23.92060275708,2,51341.0195987269,0.8,80
EARTH-CALIB,un172,279.1077528036,-23.92060275708,2,51341.0209876157,0.8,81
DARK,un173,279.1077528035,-23.92060275708,2,51593.0022536227,1000.0,82
EARTH-CALIB,un174,279.100875,-23.90338888889,3,55462.5175631597,250.0,83
EARTH-CALIB,un175,279.100875,-23.90338888889,3,55462.5219842593,350.0,84
EARTH-CALIB,un176,279.100875,-23.90338888889,3,55462.5275631597,350.0,85
BIAS,un177,279.1077528035,-23.92060275708,2,51252.1258696759,0.0,86
DARK,un178,279.1077528035,-23.92060275708,2,51252.1263789352,1200.0,87
DARK,un179,279.1077528035,-23.92060275708,2,51252.1407770833,60.0,88
BIAS,un180,279.1077528035,-23.92060275708,2,51252.141980787,0.0,90
BIAS,un181,279.1077528035,-23.92060275708,2,51269.1312629977,0.0,91
DARK,un182,279.1077528035,-23.92060275708,2,51269.1317722569,960.0,92
BIAS,un183,279.1077528035,-23.92060275708,2,51284.1818300579,0.0,93
DARK,un184,279.1077528035,-23.92060275708,2,51284.1823393171,960.0,94
DARK,un185,279.1077528036,-23.92060275708,3,51338.1263798611,120.0,95
BIAS,un186,279.1077528035,-23.92060275708,2,51338.1142502315,0.0,96
DARK,un187,279.1077528035,-23.92060275708,2,51338.1147594907,960.0,97
BIAS,un188,279.1077528036,-23.92060275708,2,51338.1287872685,0.0,98
BIAS,un189,279.1077528036,-23.92060275708,2,51341.0239839468,0.0,99
DARK,un190,279.1077528036,-23.92060275708,2,51341.024493206,960.0,101
BIAS,un191,279.1077528035,-23.92060275708,3,51593.0002053241,0.0,102
BIAS,un192,279.1077528035,-23.92060275708,3,51593.0114782755,0.0,103
BIAS,un193,279.1077528035,-23.92060275708,3,51593.0130060532,0.0,104
BIAS,un194,279.1077528035,-23.92060275708,3,51593.0138164352,0.0,105
BIAS,un195,279.1077528035,-23.92060275708,3,51593.014533831,0.0,106
DARK,un196,279.1077528035,-23.92060275708,1,51289.9564137384,1380.0,107
DARK,un197,279.1077528036,-23.92060275708,1,51302.667408912,1380.0,108
DARK,un198,279.1077528035,-23.92060275708,1,51308.5590072917,1380.0,109
DARK,un199,279.1186819963,-23.90103961346,3,51266.0330337616,120.0,110
BIAS,un200,279.1186819963,-23.90103961346,2,51266.0209041319,0.0,113
DARK,un201,279.1186819963,-23.90103961346,2,51266.0214133449,960.0,114
BIAS,un202,279.1186819963,-23.90103961346,2,51266.035441169,0.0,115
DARK,un203,279.1186819963,-23.90103961346,3,51266.0527214931,120.0,116
BIAS,un204,279.1186819963,-23.90103961346,2,51266.0405918634,0.0,117
DARK,un205,279.1186819963,-23.90103961346,2,51266.0411011227,960.0,118
BIAS,un206,279.1186819963,-23.90103961346,2,51266.0551289352,0.0,119
M22-WFPC2,un207,279.1408333333,-23.90213888889,3,54585.43631242,3150.0,120
M22-WFPC2,un208,279.1408333333,-23.90213888889,3,54585.44325542,900.0,121
M22-WFPC2,un209,279.1408333333,-23.90213888889,3,54585.43631242,4050.0,122
DARK,un210,279.0667054963,-23.90058469933,1,59638.6359815625,1300.199375,124
EARTH-CALIB,un211,279.139048066,-23.95188308297,2,49990.395334919,1000.0,125
NGC6656,un212,279.1008333333,-23.90333333333,3,49990.41825302,4800.0,126
NGC6656,un213,279.1008333333,-23.90333333333,3,49990.35575302,9400.0,127
NGC6656,un214,279.1008333333,-23.90333333333,3,49990.35575302,4600.0,128
NGC6656-R1,un215,279.0822083333,-23.82615833333,3,51723.457118,3120.0,129
NGC6656-R1,un216,279.0822083333,-23.82615833333,3,51723.52031245,2080.0,130
NGC6656-R1,un217,279.0822083333,-23.82615833333,3,51723.457118,5200.0,131
DARK,un218,279.0666477206,-23.90057652311,1,59638.6639681713,1040.0,132
BIAS,un219,279.0666584427,-23.90060599984,1,59638.6623822569,0.0,133
BIAS,un220,279.0667054963,-23.90058469933,1,59638.6416763542,0.0,135
DARK,un221,279.0667054963,-23.90058469933,1,59638.6432618866,1040.0,136
BIAS,un222,279.0652465883,-23.90216434716,1,59751.7081045949,0.0,137
DARK,un223,279.0652465883,-23.90216434716,1,59751.7096901273,1040.0,138
BIAS,un224,279.0652465883,-23.90216434716,1,59751.7751764236,0.0,139
DARK,un225,279.0652465883,-23.90216434716,1,59751.7767620023,1040.0,140
BIAS,un226,279.0652009313,-23.90220876407,1,59751.7288104977,0.0,141
DARK,un227,279.0652009313,-23.90220876407,1,59751.7303960648,1040.0,142
BIAS,un228,279.0652009313,-23.90220876407,1,59751.7958823727,0.0,143
DARK,un229,279.0652009313,-23.90220876407,1,59751.7974679051,1040.0,144
NGC6656,un230,279.1008333333,-23.90333333333,3,53826.91824002,83.0,146
NGC6656,un231,279.1008333333,-23.90333333333,3,53826.98074002,83.0,147
NGC6656,un232,279.1008333333,-23.90333333333,3,53826.91824002,166.0,148
LO-LAT,un233,278.9907331943,-24.01909505028,3,49632.36130272,2400.0,149
LO-LAT,un234,278.9907331943,-24.01909505028,3,49632.36130272,2400.0,150
NGC6656-R2,un235,279.040875,-23.73368611111,3,51724.52864579,5200.0,151
NGC6656-R2,un236,279.040875,-23.73368611111,3,51724.52864579,3120.0,152
NGC6656-R2,un237,279.040875,-23.73368611111,3,51724.55364579,2080.0,153
DARK,un238,279.0430804958,-23.74182556672,2,51724.6443601505,1100.0,154
DARK,un239,279.0430951139,-23.74180761291,2,51724.6576008912,60.0,155
DARK,un240,279.0430951139,-23.74180761291,2,51724.6588045949,60.0,157
DARK,un241,279.0324420321,-23.74325559015,1,51724.7571497685,1380.0,158
